         313289 function calls (304066 primitive calls) in 4.792 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  466/438    0.001    0.000    0.013    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\typing.py:371(inner)
        1    0.000    0.000    0.013    0.013 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\misc.py:1(<module>)
        1    0.000    0.000    0.012    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:107(__init__)
        2    0.000    0.000    0.012    0.006 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\win32\lib\pywintypes.py:8(__import_pywin32_system_module__)
       60    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      766    0.001    0.000    0.011    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_utils.py:200(_rebuild_tensor_v2)
        1    0.000    0.000    0.010    0.010 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\misc.py:49(IPersist)
    30913    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      766    0.002    0.000    0.010    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_utils.py:179(_rebuild_tensor)
        3    0.000    0.000    0.010    0.003 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\socket.py:946(getaddrinfo)
     3999    0.003    0.000    0.009    0.000 {built-in method builtins.setattr}
        3    0.009    0.003    0.009    0.003 {built-in method _socket.getaddrinfo}
       57    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
     3717    0.008    0.000    0.009    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:833(__setattr__)
        1    0.000    0.000    0.009    0.009 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\automation.py:1(<module>)
        1    0.002    0.002    0.009    0.009 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\typeinfo.py:1(<module>)
      450    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       57    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap_external>:1286(create_module)
        3    0.007    0.002    0.007    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.007    0.007 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2397(eval)
    550/1    0.001    0.000    0.007    0.007 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2375(train)
     3462    0.004    0.000    0.006    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
