         1454607 function calls (1304232 primitive calls) in 56.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.615    0.615 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:274(jwt_grant)
        1    0.000    0.000    0.615    0.615 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:220(_token_endpoint_request)
        1    0.000    0.000    0.615    0.615 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:136(_token_endpoint_request_no_throw)
        1    0.000    0.000    0.614    0.614 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py:156(__call__)
        4    0.000    0.000    0.603    0.151 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:161(_new_conn)
        4    0.000    0.000    0.603    0.151 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\connection.py:37(create_connection)
        4    0.000    0.000    0.581    0.145 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssl_.py:490(_ssl_wrap_socket_impl)
        4    0.000    0.000    0.581    0.145 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:449(wrap_socket)
        4    0.000    0.000    0.581    0.145 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:956(_create)
        4    0.000    0.000    0.581    0.145 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1310(do_handshake)
        4    0.581    0.145    0.581    0.145 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      110    0.002    0.000    0.555    0.005 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:175(forward)
        4    0.521    0.130    0.521    0.130 {method 'connect' of '_socket.socket' objects}
    14410    0.022    0.000    0.504    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\activation.py:100(forward)
      110    0.010    0.000    0.492    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:135(forward)
    14410    0.020    0.000    0.482    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\functional.py:1462(relu)
    14410    0.456    0.000    0.456    0.000 {built-in method torch.relu}
       37    0.001    0.000    0.440    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:231(request)
       37    0.000    0.000    0.437    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1316(request)
       37    0.001    0.000    0.437    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1321(_send_request)
       37    0.000    0.000    0.423    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1303(endheaders)
       37    0.000    0.000    0.423    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1065(_send_output)
       39    0.000    0.000    0.423    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1010(send)
       39    0.000    0.000    0.422    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1201(sendall)
       39    0.000    0.000    0.422    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1174(send)
       39    0.421    0.011    0.421    0.011 {method 'write' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.408    0.204 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:305(load_weights)
      306    0.004    0.000    0.398    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\init.py:406(kaiming_uniform_)
      288    0.002    0.000    0.388    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:428(__init__)
      388    0.385    0.001    0.385    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
     1235    0.002    0.000    0.383    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:304(imresample)
      288    0.006    0.000    0.381    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:70(__init__)
     1235    0.016    0.000    0.381    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\functional.py:3829(interpolate)
     1345    0.005    0.000    0.379    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\functional.py:1221(adaptive_avg_pool2d)
        1    0.000    0.000    0.361    0.361 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:131(init_tts_engine)
      222    0.003    0.000    0.360    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:14(__init__)
        1    0.000    0.000    0.358    0.358 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\__init__.py:6(init)
        1    0.000    0.000    0.358    0.358 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\engine.py:20(__init__)
        1    0.000    0.000    0.358    0.358 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:28(__init__)
     1345    0.357    0.000    0.357    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
      116    0.009    0.000    0.353    0.003 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:82(forward)
      288    0.002    0.000    0.329    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:143(reset_parameters)
      132    0.313    0.002    0.313    0.002 {imread}
    77/16    0.001    0.000    0.296    0.018 <frozen importlib._bootstrap>:1343(_find_and_load)
     64/4    0.000    0.000    0.295    0.074 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     64/5    0.000    0.000    0.292    0.058 <frozen importlib._bootstrap>:905(_load_unlocked)
     62/5    0.000    0.000    0.291    0.058 <frozen importlib._bootstrap_external>:988(exec_module)
    152/9    0.000    0.000    0.287    0.032 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     63/5    0.001    0.000    0.286    0.057 {built-in method builtins.exec}
       14    0.000    0.000    0.281    0.020 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py:73(import_module)
    15/14    0.000    0.000    0.281    0.020 <frozen importlib._bootstrap>:1369(_gcd_import)
        1    0.000    0.000    0.276    0.276 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:1(<module>)
     19/7    0.000    0.000    0.255    0.036 {built-in method builtins.__import__}
        8    0.001    0.000    0.233    0.029 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:866(load)
